feature,importance
is_month_to_month,0.23897746
InternetService_Fiber optic,0.18571165
has_fiber,0.16937663
Contract_Two year,0.04335389
contract_risk_band_Low Risk,0.033132512
InternetService_No,0.03175665
Contract_One year,0.023685386
tenure_band_49+ Months,0.018598102
monthly_charge_band_Very High,0.016292548
tenure,0.01255375
StreamingMovies_flag,0.011931459
StreamingMovies,0.011749773
PaymentMethod_Electronic check,0.010611856
PaperlessBilling,0.009156927
MultipleLines,0.008993035
OnlineSecurity,0.0083048735
MultipleLines_flag,0.008244178
PhoneService,0.008049944
StreamingTV,0.007942731
TechSupport,0.0077312854
TotalCharges,0.0074630836
OnlineSecurity_flag,0.006998519
tenure_band_25-48 Months,0.006936273
OnlineBackup_flag,0.0067405994
MonthlyCharges,0.0066868886
Dependents,0.0062548807
OnlineBackup,0.00615697
avg_revenue_per_month,0.0061363257
SeniorCitizen,0.0060961978
monthly_charge_band_Medium,0.0060259677
StreamingTV_flag,0.005959283
TechSupport_flag,0.0058922055
gender,0.0058921245
service_count,0.0057328376
estimated_annual_revenue,0.005689118
PaymentMethod_Mailed check,0.005430278
is_senior,0.005322405
DeviceProtection_flag,0.0050393105
PaymentMethod_Credit card (automatic),0.004997542
DeviceProtection,0.004947257
contract_risk_band_Moderate Risk,0.004884106
tenure_band_13-24 Months,0.0043302295
Partner,0.004232936
monthly_charge_band_Low,0.0
