customerID,tenure,tenure_band,MonthlyCharges,monthly_charge_band,TotalCharges,Contract,contract_risk_band,service_count,has_fiber,is_month_to_month,estimated_annual_revenue,revenue_at_risk,churn_flag
7590-VHVEG,1,0-12 Months,29.85,Low,29.85,Month-to-month,High Risk,1,0,1,358.20000000000005,0.0,0
5575-GNVDE,34,25-48 Months,56.95,Medium,1889.5,One year,Moderate Risk,2,0,0,683.4000000000001,0.0,0
3668-QPYBK,2,0-12 Months,53.85,Medium,108.15,Month-to-month,High Risk,2,0,1,646.2,646.2,1
7795-CFOCW,45,25-48 Months,42.3,Medium,1840.75,One year,Moderate Risk,3,0,0,507.59999999999997,0.0,0
9237-HQITU,2,0-12 Months,70.7,High,151.65,Month-to-month,High Risk,0,1,1,848.4000000000001,848.4000000000001,1
9305-CDSKC,8,0-12 Months,99.65,High,820.5,Month-to-month,High Risk,4,1,1,1195.8000000000002,1195.8000000000002,1
1452-KIOVK,22,13-24 Months,89.1,High,1949.4,Month-to-month,High Risk,3,1,1,1069.1999999999998,0.0,0
6713-OKOMC,10,0-12 Months,29.75,Low,301.9,Month-to-month,High Risk,1,0,1,357.0,0.0,0
7892-POOKP,28,25-48 Months,104.8,Very High,3046.05,Month-to-month,High Risk,5,1,1,1257.6,1257.6,1
6388-TABGU,62,49+ Months,56.15,Medium,3487.95,One year,Moderate Risk,2,0,0,673.8,0.0,0
9763-GRSKD,13,13-24 Months,49.95,Medium,587.45,Month-to-month,High Risk,1,0,1,599.4000000000001,0.0,0
7469-LKBCI,16,13-24 Months,18.95,Low,326.8,Two year,Low Risk,0,0,0,227.39999999999998,0.0,0
8091-TTVAX,58,49+ Months,100.35,Very High,5681.1,One year,Moderate Risk,4,1,0,1204.1999999999998,0.0,0
0280-XJGEX,49,49+ Months,103.7,Very High,5036.3,Month-to-month,High Risk,5,1,1,1244.4,1244.4,1
5129-JLPIS,25,25-48 Months,105.5,Very High,2686.05,Month-to-month,High Risk,5,1,1,1266.0,0.0,0
3655-SNQYZ,69,49+ Months,113.25,Very High,7895.15,Two year,Low Risk,7,1,0,1359.0,0.0,0
8191-XWSZG,52,49+ Months,20.65,Low,1022.95,One year,Moderate Risk,0,0,0,247.79999999999998,0.0,0
9959-WOFKT,71,49+ Months,106.7,Very High,7382.25,Two year,Low Risk,5,1,0,1280.4,0.0,0
4190-MFLUW,10,0-12 Months,55.2,Medium,528.35,Month-to-month,High Risk,2,0,1,662.4000000000001,662.4000000000001,1
4183-MYFRB,21,13-24 Months,90.05,High,1862.9,Month-to-month,High Risk,3,1,1,1080.6,0.0,0
8779-QRDMV,1,0-12 Months,39.65,Medium,39.65,Month-to-month,High Risk,2,0,1,475.79999999999995,475.79999999999995,1
1680-VDCWW,12,0-12 Months,19.8,Low,202.25,One year,Moderate Risk,0,0,0,237.60000000000002,0.0,0
1066-JKSGK,1,0-12 Months,20.15,Low,20.15,Month-to-month,High Risk,0,0,1,241.79999999999998,241.79999999999998,1
3638-WEABW,58,49+ Months,59.9,Medium,3505.1,Two year,Low Risk,3,0,0,718.8,0.0,0
6322-HRPFA,49,49+ Months,59.6,Medium,2970.3,Month-to-month,High Risk,3,0,1,715.2,0.0,0
6865-JZNKO,30,25-48 Months,55.3,Medium,1530.6,Month-to-month,High Risk,2,0,1,663.5999999999999,0.0,0
6467-CHFZW,47,25-48 Months,99.35,High,4749.15,Month-to-month,High Risk,4,1,1,1192.1999999999998,1192.1999999999998,1
8665-UTDHZ,1,0-12 Months,30.2,Low,30.2,Month-to-month,High Risk,1,0,1,362.4,362.4,1
5248-YGIJN,72,49+ Months,90.25,High,6369.45,Two year,Low Risk,7,0,0,1083.0,0.0,0
8773-HHUOZ,17,13-24 Months,64.7,Medium,1093.1,Month-to-month,High Risk,2,0,1,776.4000000000001,776.4000000000001,1
3841-NFECX,71,49+ Months,96.35,High,6766.95,Two year,Low Risk,5,1,0,1156.1999999999998,0.0,0
4929-XIHVW,2,0-12 Months,95.5,High,181.65,Month-to-month,High Risk,3,1,1,1146.0,0.0,0
6827-IEAUQ,27,25-48 Months,66.15,Medium,1874.45,One year,Moderate Risk,4,0,0,793.8000000000001,0.0,0
7310-EGVHZ,1,0-12 Months,20.2,Low,20.2,Month-to-month,High Risk,0,0,1,242.39999999999998,0.0,0
3413-BMNZE,1,0-12 Months,45.25,Medium,45.25,Month-to-month,High Risk,0,0,1,543.0,0.0,0
6234-RAAPL,72,49+ Months,99.9,High,7251.7,Two year,Low Risk,5,1,0,1198.8000000000002,0.0,0
6047-YHPVI,5,0-12 Months,69.7,Medium,316.9,Month-to-month,High Risk,0,1,1,836.4000000000001,836.4000000000001,1
6572-ADKRS,46,25-48 Months,74.8,High,3548.3,Month-to-month,High Risk,1,1,1,897.5999999999999,0.0,0
5380-WJKOV,34,25-48 Months,106.35,Very High,3549.25,Month-to-month,High Risk,5,1,1,1276.1999999999998,1276.1999999999998,1
8168-UQWWF,11,0-12 Months,97.85,High,1105.4,Month-to-month,High Risk,4,1,1,1174.1999999999998,1174.1999999999998,1
8865-TNMNX,10,0-12 Months,49.55,Medium,475.7,One year,Moderate Risk,1,0,0,594.5999999999999,0.0,0
9489-DEDVP,70,49+ Months,69.2,Medium,4872.35,Two year,Low Risk,4,0,0,830.4000000000001,0.0,0
9867-JCZSP,17,13-24 Months,20.75,Low,418.25,One year,Moderate Risk,0,0,0,249.0,0.0,0
4671-VJLCL,63,49+ Months,79.85,High,4861.45,Two year,Low Risk,6,0,0,958.1999999999999,0.0,0
4080-IIARD,13,13-24 Months,76.2,High,981.45,Month-to-month,High Risk,5,0,1,914.4000000000001,0.0,0
3714-NTNFO,49,49+ Months,84.5,High,3906.7,Month-to-month,High Risk,2,1,1,1014.0,0.0,0
5948-UJZLF,2,0-12 Months,49.25,Medium,97.0,Month-to-month,High Risk,1,0,1,591.0,0.0,0
7760-OYPDY,2,0-12 Months,80.65,High,144.15,Month-to-month,High Risk,1,1,1,967.8000000000001,967.8000000000001,1
7639-LIAYI,52,49+ Months,79.75,High,4217.8,Two year,Low Risk,5,0,0,957.0,0.0,0
2954-PIBKO,69,49+ Months,64.15,Medium,4254.1,Two year,Low Risk,4,0,0,769.8000000000001,0.0,0
8012-SOUDQ,43,25-48 Months,90.25,High,3838.75,Month-to-month,High Risk,3,1,1,1083.0,0.0,0
9420-LOJKX,15,13-24 Months,99.1,High,1426.4,Month-to-month,High Risk,4,1,1,1189.1999999999998,1189.1999999999998,1
6575-SUVOI,25,25-48 Months,69.5,Medium,1752.65,Month-to-month,High Risk,4,0,1,834.0,0.0,0
7495-OOKFY,8,0-12 Months,80.65,High,633.3,Month-to-month,High Risk,2,1,1,967.8000000000001,967.8000000000001,1
4667-QONEA,60,49+ Months,74.85,High,4456.35,One year,Moderate Risk,5,0,0,898.1999999999999,0.0,0
1658-BYGOY,18,13-24 Months,95.45,High,1752.55,Month-to-month,High Risk,3,1,1,1145.4,1145.4,1
8769-KKTPH,63,49+ Months,99.65,High,6311.2,One year,Moderate Risk,4,1,0,1195.8000000000002,0.0,0
5067-XJQFU,66,49+ Months,108.45,Very High,7076.35,One year,Moderate Risk,6,1,0,1301.4,0.0,0
3957-SQXML,34,25-48 Months,24.95,Low,894.3,Two year,Low Risk,1,0,0,299.4,0.0,0
5954-BDFSG,72,49+ Months,107.5,Very High,7853.7,Two year,Low Risk,5,1,0,1290.0,0.0,0
0434-CSFON,47,25-48 Months,100.5,Very High,4707.1,Month-to-month,High Risk,4,1,1,1206.0,0.0,0
1215-FIGMP,60,49+ Months,89.9,High,5450.7,Month-to-month,High Risk,3,1,1,1078.8000000000002,0.0,0
0526-SXDJP,72,49+ Months,42.1,Medium,2962.0,Two year,Low Risk,3,0,0,505.20000000000005,0.0,0
0557-ASKVU,18,13-24 Months,54.4,Medium,957.1,One year,Moderate Risk,2,0,0,652.8,0.0,0
5698-BQJOH,9,0-12 Months,94.4,High,857.25,Month-to-month,High Risk,3,1,1,1132.8000000000002,1132.8000000000002,1
5122-CYFXA,3,0-12 Months,75.3,High,244.1,Month-to-month,High Risk,4,0,1,903.5999999999999,0.0,0
8627-ZYGSZ,47,25-48 Months,78.9,High,3650.35,One year,Moderate Risk,2,1,0,946.8000000000001,0.0,0
3410-YOQBQ,31,25-48 Months,79.2,High,2497.2,Two year,Low Risk,5,0,0,950.4000000000001,0.0,0
3170-NMYVV,50,49+ Months,20.15,Low,930.9,Two year,Low Risk,0,0,0,241.79999999999998,0.0,0
7410-OIEDU,10,0-12 Months,79.85,High,887.35,Month-to-month,High Risk,2,1,1,958.1999999999999,0.0,0
2273-QCKXA,1,0-12 Months,49.05,Medium,49.05,Month-to-month,High Risk,1,0,1,588.5999999999999,0.0,0
