customerID,Contract,tenure,MonthlyCharges,estimated_annual_revenue,predicted_churn_probability,predicted_risk_band,predicted_revenue_at_risk,retention_priority_score,priority_tier,customer_value_band,recommended_offer_type,retention_action
7216-EWTRS,Month-to-month,1,100.8,1209.6,0.9104832256077534,Critical,1101.32,1101.32,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
5419-JPRRN,Month-to-month,1,101.45,1217.4,0.9022646345041886,Critical,1098.42,1098.42,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
4822-RVYBB,Month-to-month,8,100.6,1207.1999999999998,0.8826256935248583,Critical,1065.51,1065.51,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
0107-YHINA,Month-to-month,1,99.75,1197.0,0.8834167475824779,Critical,1057.45,1057.45,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
0781-LKXBR,Month-to-month,9,100.5,1206.0,0.871568110065534,Critical,1051.11,1051.11,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
9681-OXGVC,Month-to-month,5,100.5,1206.0,0.8712775774278174,Critical,1050.76,1050.76,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
8884-ADFVN,Month-to-month,7,101.95,1223.4,0.8583357462041035,Critical,1050.09,1050.09,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
9305-CDSKC,Month-to-month,8,99.65,1195.8000000000002,0.8769823515606218,Critical,1048.7,1048.7,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
6861-XWTWQ,Month-to-month,7,99.25,1191.0,0.8772719286103051,Critical,1044.83,1044.83,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
2446-BEGGB,Month-to-month,6,98.25,1179.0,0.8847852477263674,Critical,1043.16,1043.16,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
2012-NWRPA,Month-to-month,11,99.55,1194.6,0.8728007772094022,Critical,1042.65,1042.65,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
9300-AGZNL,Month-to-month,1,94.0,1128.0,0.9210476628243128,Critical,1038.94,1038.94,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
9497-QCMMS,Month-to-month,1,93.55,1122.6,0.9208663008171446,Critical,1033.76,1033.76,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
