gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_flag,OnlineSecurity_flag,OnlineBackup_flag,DeviceProtection_flag,TechSupport_flag,StreamingTV_flag,StreamingMovies_flag,service_count,has_fiber,is_month_to_month,is_senior,avg_revenue_per_month,estimated_annual_revenue,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_band_13-24 Months,tenure_band_25-48 Months,tenure_band_49+ Months,monthly_charge_band_Low,monthly_charge_band_Medium,monthly_charge_band_Very High,contract_risk_band_Low Risk,contract_risk_band_Moderate Risk,target_churn
0,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,0,1,0,0,0,0,1,0,1,0,29.85,358.20000000000005,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,1,0,1,0,0,0,2,0,0,0,55.5735294117647,683.4000000000001,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
1,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,0,1,1,0,0,0,0,2,0,1,0,54.075,646.2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,1,0,1,1,0,0,3,0,0,0,40.90555555555556,507.59999999999997,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,0,0,0,0,0,0,0,0,1,1,0,75.825,848.4000000000001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,0,0,1,0,1,1,4,1,1,0,102.5625,1195.8000000000002,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,1,0,1,0,0,1,0,3,1,1,0,88.60909090909091,1069.1999999999998,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,1,0,0,0,0,0,1,0,1,0,30.189999999999998,357.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,0,0,1,1,1,1,5,1,1,0,108.78750000000001,1257.6,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
1,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,1,1,0,0,0,0,2,0,0,0,56.25725806451613,673.8,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
1,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,1,0,0,0,0,0,1,0,1,0,45.18846153846154,599.4000000000001,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,0,0,0,0,0,0,0,0,0,0,20.425,227.39999999999998,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0
