customerID,Contract,tenure,MonthlyCharges,estimated_annual_revenue,predicted_churn_probability,predicted_risk_band,predicted_revenue_at_risk,retention_priority_score,priority_tier,customer_value_band,recommended_offer_type,retention_action
7590-VHVEG,Month-to-month,1,29.85,358.20000000000005,0.4998159889310862,Moderate,179.03,179.03,P3,Standard Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
5575-GNVDE,One year,34,56.95,683.4000000000001,0.0236076394055619,Low,16.13,16.13,P4,Medium Value,No immediate offer,Monitor only
3668-QPYBK,Month-to-month,2,53.85,646.2,0.4658683001222268,Moderate,301.04,301.04,P3,Medium Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
7795-CFOCW,One year,45,42.3,507.6,0.0304212521243348,Low,15.44,15.44,P4,Standard Value,No immediate offer,Monitor only
9237-HQITU,Month-to-month,2,70.7,848.4000000000001,0.6347504394558479,High,538.52,538.52,P2,Medium Value,No immediate offer,Offer discount or bundle upgrade to reduce churn risk
9305-CDSKC,Month-to-month,8,99.65,1195.8000000000002,0.8769823515606218,Critical,1048.7,1048.7,P1,High Value,Contract conversion incentive,Immediate retention outreach with contract conversion incentive
1452-KIOVK,Month-to-month,22,89.1,1069.1999999999998,0.4299011510661789,Moderate,459.65,459.65,P2,High Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
6713-OKOMC,Month-to-month,10,29.75,357.0,0.2259898353876745,Low,80.68,80.68,P4,Standard Value,No immediate offer,Monitor only
7892-POOKP,Month-to-month,28,104.8,1257.6,0.6290566295280754,High,791.1,791.1,P1,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
6388-TABGU,One year,62,56.15,673.8,0.0260100279224125,Low,17.53,17.53,P4,Medium Value,No immediate offer,Monitor only
9763-GRSKD,Month-to-month,13,49.95,599.4000000000001,0.1730076675743718,Low,103.7,103.7,P4,Standard Value,No immediate offer,Monitor only
7469-LKBCI,Two year,16,18.95,227.4,0.009889346035279,Low,2.25,2.25,P4,Standard Value,No immediate offer,Monitor only
8091-TTVAX,One year,58,100.35,1204.1999999999998,0.2168492055740365,Low,261.13,261.13,P3,High Value,No immediate offer,Monitor only
0280-XJGEX,Month-to-month,49,103.7,1244.4,0.5779607386610189,High,719.21,719.21,P2,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
5129-JLPIS,Month-to-month,25,105.5,1266.0,0.5011564721897451,High,634.46,634.46,P2,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
3655-SNQYZ,Two year,69,113.25,1359.0,0.0237115922586603,Low,32.22,32.22,P4,High Value,No immediate offer,Monitor only
8191-XWSZG,One year,52,20.65,247.8,0.0182554686062046,Low,4.52,4.52,P4,Standard Value,No immediate offer,Monitor only
9959-WOFKT,Two year,71,106.7,1280.4,0.1258451515768822,Low,161.13,161.13,P3,High Value,No immediate offer,Monitor only
4190-MFLUW,Month-to-month,10,55.2,662.4000000000001,0.2068919115900691,Low,137.05,137.05,P4,Medium Value,No immediate offer,Monitor only
4183-MYFRB,Month-to-month,21,90.05,1080.6,0.4412863798668881,Moderate,476.85,476.85,P2,High Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
8779-QRDMV,Month-to-month,1,39.65,475.7999999999999,0.8340389869961999,Critical,396.84,396.84,P3,Standard Value,Contract conversion incentive,High-touch onboarding recovery and service review
1680-VDCWW,One year,12,19.8,237.6,0.061012917755506,Low,14.5,14.5,P4,Standard Value,No immediate offer,Monitor only
1066-JKSGK,Month-to-month,1,20.15,241.8,0.4200506656136509,Moderate,101.57,101.57,P4,Standard Value,Customer education / support touchpoint,Send onboarding reinforcement and support check-in
3638-WEABW,Two year,58,59.9,718.8,0.0111509391915611,Low,8.02,8.02,P4,Medium Value,No immediate offer,Monitor only
6322-HRPFA,Month-to-month,49,59.6,715.2,0.1015106724529704,Low,72.6,72.6,P4,Medium Value,No immediate offer,Monitor only
6865-JZNKO,Month-to-month,30,55.3,663.5999999999999,0.1035990941132378,Low,68.75,68.75,P4,Medium Value,No immediate offer,Monitor only
6467-CHFZW,Month-to-month,47,99.35,1192.1999999999998,0.5538986597846993,High,660.36,660.36,P2,High Value,Discount / pricing support,Offer discount or bundle upgrade to reduce churn risk
8665-UTDHZ,Month-to-month,1,30.2,362.4,0.5441916265705141,High,197.22,197.22,P3,Standard Value,No immediate offer,Offer discount or bundle upgrade to reduce churn risk
5248-YGIJN,Two year,72,90.25,1083.0,0.0003399994643892,Low,0.37,0.37,P4,High Value,No immediate offer,Monitor only
8773-HHUOZ,Month-to-month,17,64.7,776.4000000000001,0.3232643550872318,Moderate,250.98,250.98,P3,Medium Value,Customer education / support touchpoint,Monitor and enroll in nurture retention journey
3841-NFECX,Two year,71,96.35,1156.1999999999998,0.0247790695619247,Low,28.65,28.65,P4,High Value,No immediate offer,Monitor only
